name,specialty,city,address,phone,priority
Dr. Tariq Imtiaz,Cardiologist,Islamabad,Islamabad Address 37,372-7962740,5
Dr. Nadia Abbas,Cardiologist,Islamabad,Islamabad Address 39,371-9637976,4
Dr. Anum Baig,Cardiologist,Islamabad,Islamabad Address 20,326-7739447,2
Dr. Zeeshan Shahid,Dermatologist,Islamabad,Islamabad Address 87,380-6777872,5
Dr. Omar Anwar,Dermatologist,Islamabad,Islamabad Address 91,372-8542256,4
Dr. Haroon Nadeem,Dermatologist,Islamabad,Islamabad Address 71,375-2352822,3
Dr. Adnan Khan,Pediatrician,Islamabad,Islamabad Address 1,334-2357745,5
Dr. Saad Hanif,Pediatrician,Islamabad,Islamabad Address 38,352-5983074,4
Dr. Fatima Noor,Pediatrician,Islamabad,Islamabad Address 46,301-3809758,3
Dr. Faisal Waqar,Neurologist,Islamabad,Islamabad Address 21,396-5621922,5
Dr. Zubair Adeel2,Neurologist,Islamabad,Islamabad Address 13,392-7416982,4
Dr. Waqas Javed,Neurologist,Islamabad,Islamabad Address 61,325-5312346,3
Dr. Zainab Arslan,Gynecologist,Islamabad,Islamabad Address 72,326-4788064,5
Dr. Sajid Tariq,Gynecologist,Islamabad,Islamabad Address 73,318-4916073,4
Dr. Tahir Farhan2,Gynecologist,Islamabad,Islamabad Address 15,339-7711174,3
Dr. Imran Ahmed,Orthopedic Surgeon,Islamabad,Islamabad Address 76,322-2093270,5
Dr. Yousaf Saeed,Orthopedic Surgeon,Islamabad,Islamabad Address 46,308-9782855,4
Dr. Maryam Raza,Orthopedic Surgeon,Islamabad,Islamabad Address 47,349-6598417,3
Dr. Nimra Sami,ENT Specialist,Islamabad,Islamabad Address 80,361-8122586,5
Dr. Mariam Iqbal,ENT Specialist,Islamabad,Islamabad Address 29,319-9159223,4
Dr. Saima Khurram,ENT Specialist,Islamabad,Islamabad Address 34,350-3125013,3
Dr. Lubna Iqbal,Urologist,Islamabad,Islamabad Address 99,316-5614635,5
Dr. Ayesha Amna2,Urologist,Islamabad,Islamabad Address 88,351-6794914,4
Dr. Farhan Raza,Urologist,Islamabad,Islamabad Address 42,363-9008006,3
Dr. Shahbaz Qureshi,Dentist,Islamabad,Islamabad Address 100,355-7299311,5
Dr. Mehreen Hussain,Dentist,Islamabad,Islamabad Address 65,367-1395089,4
Dr. Iqra Rauf,Dentist,Islamabad,Islamabad Address 4,338-6732566,3
Dr. Bilal2 Khalid,Endocrinologist,Islamabad,Islamabad Address 13,312-1566930,5
Dr. Hira Shahid,Endocrinologist,Islamabad,Islamabad Address 10,335-2381496,4
Dr. Khalid Malik,Endocrinologist,Islamabad,Islamabad Address 35,363-3180008,3
Dr. Areeba Ali,Psychiatrist,Islamabad,Islamabad Address 80,340-6201730,5
Dr. Bushra Hafsa,Psychiatrist,Islamabad,Islamabad Address 12,324-3902541,4
Dr. Nadia2 Iqbal,Psychiatrist,Islamabad,Islamabad Address 38,365-8239014,3
Dr. Amna Ahmed,Oncologist,Islamabad,Islamabad Address 22,396-1415438,5
Dr. Sadia Hussain,Oncologist,Islamabad,Islamabad Address 59,370-1078282,4
Dr. Mahnoor Mehmood,Oncologist,Islamabad,Islamabad Address 37,341-4299650,3
Dr. Mariam2 Qaiser,Pulmonologist,Islamabad,Islamabad Address 27,352-1747756,5
Dr. Adeel Jameel,Pulmonologist,Islamabad,Islamabad Address 83,304-4211611,4
Dr. Junaid Sumaira,Pulmonologist,Islamabad,Islamabad Address 5,382-7900863,3
Dr. Ahsan Riaz,Cardiologist,Lahore,Lahore Address 14,386-1104097,5
Dr. Nida Noman,Cardiologist,Lahore,Lahore Address 92,326-1715015,4
Dr. Fawad Bilal3,Cardiologist,Lahore,Lahore Address 7,390-1534950,3
Dr. Natasha Haider,Dermatologist,Lahore,Lahore Address 83,350-9419664,5
Dr. Yasir Zia,Dermatologist,Lahore,Lahore Address 100,331-6744966,4
Dr. Salman Mehmood,Dermatologist,Lahore,Lahore Address 69,330-1998062,3
Dr. Usman Tariq2,Pediatrician,Lahore,Lahore Address 22,390-5874204,5
Dr. Hira2 Malik,Pediatrician,Lahore,Lahore Address 93,336-2914596,4
Dr. Ali Khan,Pediatrician,Lahore,Lahore Address 13,393-4650895,3
Dr. Irfan Farooq,Neurologist,Lahore,Lahore Address 20,395-8240740,5
Dr. Kiran Aslam,Neurologist,Lahore,Lahore Address 42,341-2929051,4
Dr. Hina Iqbal,Neurologist,Lahore,Lahore Address 78,359-5166596,3
Dr. Asma Iqbal,Gynecologist,Lahore,Lahore Address 27,335-6943513,5
Dr. Noor Akram,Gynecologist,Lahore,Lahore Address 14,338-6306508,4
Dr. Danish Qadir,Gynecologist,Lahore,Lahore Address 66,301-9033543,3
Dr. Rabia Shabbir,Orthopedic Surgeon,Lahore,Lahore Address 59,363-7340568,5
Dr. Talha Rafiq,Orthopedic Surgeon,Lahore,Lahore Address 57,385-1674862,4
Dr. Bilal Tariq,Orthopedic Surgeon,Lahore,Lahore Address 47,307-7648934,3
Dr. Hamza Zafar,ENT Specialist,Lahore,Lahore Address 5,388-3765717,5
Dr. Usman2 Imtiaz,ENT Specialist,Lahore,Lahore Address 44,329-9130285,4
Dr. Shazia Abbas,ENT Specialist,Lahore,Lahore Address 46,338-3108961,3
Dr. Kamran Baig,Urologist,Lahore,Lahore Address 30,328-1476293,5
Dr. Sara Shahid,Urologist,Lahore,Lahore Address 87,382-4475739,4
Dr. Samina Anwar,Urologist,Lahore,Lahore Address 52,339-2291229,3
Dr. Ahmed Nadeem,Dentist,Lahore,Lahore Address 14,387-7575321,5
